CONGRESS_ID;ID_KU
590;1018
591;1018
592;1018
593;1019
594;1019
595;1019
596;1019
597;1019
598;1019
599;1019
600;1019
601;1019
602;1019
603;1019
604;1019
605;1019
606;1019
607;1019
608;1019
609;1019
610;1019
611;1019
612;1019
613;1019
614;1019
615;1019
616;1019
617;1019
618;1019
619;1019
620;1019
621;1019
622;1019
623;1019
624;1019
625;1019
626;1019
627;1019
628;1019
629;1019
630;1019
631;1019
632;1019
633;1019
634;1019
635;1019
636;1019
637;1019
638;1019
639;1019
640;1019
641;1019
642;1019
643;1019
644;1020
645;1020
646;1020
647;1020
648;1020
649;1020
650;1020
651;1020
652;1020
653;1020
654;1020
655;1020
656;1020
657;1020
658;1020
659;1020
660;1020
661;1020
662;1020
663;1020
664;1020
665;1020
666;1020
667;1020
668;1020
669;1020
670;1020
671;1020
672;1020
673;1020
674;1020
675;1020
676;1020
677;1020
678;1020
679;1020
680;1020
681;1020
682;1020
683;1020
684;1020
685;1020
686;1020
687;1020
688;1020
689;1020
690;1020
691;1020
692;1020
693;1020
694;1020
695;1021
696;1021
697;1021
698;1021
699;1021
700;1021
701;1021
702;1021
703;1021
704;1021
705;1021
706;1021
707;1021
708;1021
709;1021
710;1021
711;1021
712;1021
713;1021
714;1021
715;1021
716;1021
717;1021
718;1021
719;1021
720;1021
721;1021
722;1021
723;1021
724;1021
725;1022
726;1022
727;1022
728;1022
729;1022
730;1022
731;1022
732;1022
733;1022
734;1022
735;1022
736;1022
737;1022
738;1022
739;1022
740;1022
741;1022
742;1022
743;1022
744;1022
745;1022
746;1022
747;1022
748;1022
749;1022
750;1022
751;1022
752;1022
753;1022
754;1022
755;1022
756;1022
757;1022
758;1022
759;1022
760;1022
761;1022
762;1022
763;1022
764;1022
765;1022
766;1022
767;1022
768;1022
769;1022
770;1022
771;1022
772;1022
773;1022
774;1022
775;1022
776;1023
777;1023
778;1023
779;1023
780;1023
781;1023
782;1023
783;1023
784;1023
785;1023
786;1023
787;1023
788;1023
789;1023
790;1023
791;1023
792;1023
793;1023
794;1023
795;1023
796;1023
797;1023
798;1023
799;1023
800;1023
801;1023
802;1023
803;1023
804;1023
805;1023
806;1023
807;1023
808;1023
809;1024
810;1024
811;1024
812;1024
813;1024
814;1024
815;1024
816;1024
817;1024
818;1024
819;1024
820;1024
821;1024
822;1024
823;1024
824;1024
825;1024
826;1024
827;1024
828;1024
829;1024
830;1024
831;1024
832;1024
