ID_KU;ID_PAPER
1000;131046
1000;131047
1000;131048
1000;131049
1000;131050
1000;131051
1000;131052
1000;131053
1000;131054
1000;131055
1000;131056
1000;131057
1000;131058
1000;131059
1000;131060
1000;131061
1000;131062
1000;131063
1000;131064
1000;131065
1000;131066
1000;131067
1000;131068
1000;131069
1000;131070
1000;131071
1000;131072
1000;131073
1000;131074
1000;131075
1000;131076
1000;131077
1000;131078
1000;131079
1000;131080
1000;131081
1000;131082
1000;131083
1000;131084
1000;131085
1000;131086
1000;131087
1000;131088
1000;131089
1000;131090
1000;131091
1000;131092
1000;131093
1000;131094
1000;131095
1000;131096
1000;131097
1000;131098
1000;131099
1000;131100
1000;131101
1000;131102
1000;131103
1000;131104
1000;131105
1000;131106
1000;131107
1000;131108
1000;131109
1000;131110
1000;131111
1000;131112
1000;131113
1000;131114
1000;131115
1000;131116
1000;131117
1000;131118
1000;131119
1000;131120
1000;131121
1000;131122
1000;131123
1000;131124
1000;131125
1000;131126
1000;131127
1000;131128
1000;131129
1000;131130
1000;131131
1000;131132
1000;131133
1000;131134
1000;131135
1000;131136
1000;131137
1000;131138
1000;131139
1000;131140
1000;131141
1000;131142
1000;131143
1000;131144
1000;131145
1000;131146
1000;131147
1000;131148
1000;131149
1000;131150
1000;131151
1000;131152
1000;131153
1000;131154
1000;131155
1000;131156
1000;131157
1000;131158
1000;131159
1000;131160
1000;131161
1000;131162
1000;131163
1000;131164
1000;131165
1000;131166
1000;131167
1000;131168
1000;131169
1000;131170
1000;131171
1000;131172
1000;131173
1000;131174
1000;131175
1000;131176
1000;131177
1000;131178
1000;131179
1000;131180
1000;131181
1000;131182
1000;131183
1000;131184
1000;131185
1000;131186
1000;131187
1000;131188
1000;131189
1000;131190
1000;131191
1000;131192
1000;131193
1000;131194
1000;131195
1000;131196
1000;131197
1000;131198
1000;131199
1000;131200
1000;131201
1000;131202
1000;131203
1000;131204
1000;131205
1000;131206
1000;131207
1000;131208
1000;131209
1000;131210
1000;131211
1000;131212
1000;131213
1000;131214
1000;131215
1000;131216
1000;131217
1000;131218
1000;131219
1000;131220
1000;131221
1000;131222
1000;131223
1000;131224
1000;131225
1000;131226
1000;131227
1000;131228
1000;131229
1000;131230
1000;131231
1000;131232
1000;131233
1000;131234
1000;131235
1000;131236
1000;131237
1000;131238
1000;131239
1000;131240
1000;131241
1000;131242
1000;131243
1000;131244
1000;131245
1000;131246
1000;131247
1000;131248
1000;131249
1000;131250
1000;131251
1000;131252
1000;131253
1000;131254
1000;131255
1000;131256
1000;131257
1000;131258
1000;131259
1000;131260
1000;131261
1000;131262
1000;131263
1000;131264
1000;131265
1000;131266
1000;131267
1000;131268
1000;131269
1000;131270
1000;131271
1000;131272
1000;131273
1000;131274
1000;131275
1000;131276
1000;131277
1000;131278
1000;131279
1000;131280
1000;131281
1000;131282
1000;131283
1000;131284
1000;131285
1000;131286
1000;131287
1000;131288
1000;131289
1000;131290
1000;131291
1000;131292
1000;131293
1000;131294
1000;131295
1000;131296
1000;131297
1000;131298
1000;131299
1000;131300
1000;131301
1000;131302
1000;131303
1000;131304
1000;131305
1000;131306
1000;131307
1000;131308
1000;131309
1000;131310
1000;131311
1000;131312
1000;131313
1000;131314
1000;131315
1000;131316
1000;131317
1000;131318
1000;131319
1000;131320
1000;131321
1000;131322
1000;131323
1000;131324
1000;131325
1000;131326
1000;131327
1000;131328
1000;131329
1000;131330
1000;131331
1000;131332
1000;131333
1000;131334
1000;131335
1000;131336
1000;131337
1000;131338
1000;131339
1000;131340
1000;131341
1000;131342
1000;131343
1000;131344
1000;131345
1000;131346
1000;131347
1000;131348
1000;131349
1000;131350
1000;131351
1000;131352
1000;131353
1000;131354
1000;131355
1000;131356
1000;131357
1000;131358
1000;131359
1000;131360
1000;131361
1000;131362
1000;131363
1000;131364
1000;131365
1000;131366
1000;131367
1000;131368
1000;131369
1000;131370
1000;131371
1000;131372
1000;131373
1000;131374
1000;131375
1000;131376
1000;131377
1000;131378
1000;131379
1000;131380
1000;131381
1000;131382
1000;131383
1000;131384
1000;131385
1000;131386
1000;131387
1000;131388
1000;131389
1000;131390
1000;131391
1000;131392
1000;131393
1000;131394
1000;131395
1000;131396
1000;131397
1000;131398
1000;131399
1000;131400
1000;131401
1000;131402
1000;131403
1000;131404
1000;131405
1000;131406
1000;131407
1000;131408
1000;131409
1000;131410
1000;131411
1000;131412
1000;131413
1000;131414
1000;131415
1000;131416
1000;131417
1000;131418
1000;131419
1000;131420
1000;131421
1000;131422
1000;131423
1000;131424
1000;131425
1000;131426
1000;131427
1000;131428
1000;131429
1000;131430
1000;131431
1000;131432
1000;131433
1000;131434
1000;131435
1000;131436
1000;131437
1000;131438
1000;131439
1000;131440
1000;131441
1000;131442
1000;131443
1000;131444
1000;131445
1000;131446
1000;131447
1000;131448
1000;131449
1000;131450
1000;131451
1000;131452
1000;131453
1000;131454
1000;131455
1000;131456
1000;131457
1000;131458
1000;131459
1000;131460
1000;131461
1000;131462
1000;131463
1000;131464
1000;131465
1000;131466
1000;131467
1000;131468
1000;131469
1000;131470
1000;131471
1000;131472
1000;131473
1000;131474
1000;131475
1000;131476
1000;131477
1000;131478
1000;131479
1000;131480
1000;131481
1000;131482
1000;131483
1000;131484
1000;131485
1000;131486
1000;131487
1000;131488
1000;131489
1000;131490
1000;131491
1000;131492
1000;131493
1000;131494
1000;131495
1000;131496
1000;131497
1000;131498
1000;131499
1000;131500
1000;131501
1000;131502
1000;131503
1000;131504
1000;131505
1000;131506
1000;131507
1000;131508
1000;131509
1000;131510
1000;131511
1000;131512
1000;131513
1000;131514
1000;131515
1000;131516
1000;131517
1000;131518
1000;131519
1000;131520
1000;131521
1000;131522
1000;131523
1000;131524
1000;131525
1000;131526
1000;131527
1000;131528
1000;131529
1000;131530
1000;131531
1000;131532
1000;131533
1000;131534
1000;131535
1000;131536
1000;131537
1000;131538
1000;131539
1000;131540
1000;131541
1000;131542
1000;131543
1000;131544
1000;131545
1000;131546
1000;131547
1000;131548
1000;131549
1000;131550
1000;131551
1000;131552
1000;131553
1000;131554
1000;131555
1000;131556
1000;131557
1000;131558
1000;131559
1000;131560
1000;131561
1000;131562
1000;131563
1000;131564
1000;131565
1000;131566
1000;131567
1000;131568
1000;131569
1000;131570
1000;131571
1000;131572
1000;131573
1000;131574
1000;131575
1000;131576
1000;131577
1000;131578
1000;131579
1000;131580
1000;131581
1000;131582
1000;131583
1000;131584
1000;131585
1000;131586
1000;131587
1000;131588
1000;131589
1000;131590
1000;131591
1000;131592
1000;131593
1000;131594
1000;131595
1000;131596
1000;131597
1000;131598
1000;131599
1000;131600
1000;131601
1000;131602
1000;131603
1000;131604
1000;131605
1000;131606
1000;131607
1000;131608
1000;131609
1000;131610
1000;131611
1000;131612
1000;131613
1000;131614
1000;131615
1000;131616
1000;131617
1000;131618
1000;131619
1000;131620
1000;131621
1000;131622
1000;131623
1000;131624
1000;131625
1000;131626
1000;131627
1000;131628
1000;131629
1000;131630
1000;131631
1000;131632
1000;131633
1000;131634
1000;131635
1000;131636
1000;131637
1000;131638
1000;131639
1000;131640
1000;131641
1000;131642
1000;131643
1000;131644
1000;131645
1000;131646
1000;131647
1000;131648
1000;131649
1000;131650
1000;131651
1000;131652
1000;131653
1000;131654
1000;131655
1000;131656
1000;131657
1000;131658
1000;131659
1000;131660
1000;131661
1000;131662
1000;131663
1000;131664
1000;131665
1000;131666
1000;131667
